step,tokens_seen,train_loss,val_loss,learning_rate
11800,96665600,4.721037,4.736886,0.00001000
11820,96829440,4.647635,4.736886,0.00001000
11840,96993280,4.701289,4.736886,0.00001000
11860,97157120,4.686746,4.736886,0.00001000
11880,97320960,4.806974,4.736886,0.00001000
11900,97484800,4.563664,4.736886,0.00001000
11920,97648640,4.714347,4.736886,0.00001000
11940,97812480,4.442460,4.736886,0.00001000
11960,97976320,4.565618,4.736886,0.00001000
11980,98140160,4.663819,4.736886,0.00001000
12000,98304000,4.692034,4.639404,0.00001000
12020,98467840,4.641711,4.639404,0.00001000
12040,98631680,4.519148,4.639404,0.00001000
12060,98795520,4.800868,4.639404,0.00001000
12080,98959360,4.812045,4.639404,0.00001000
12100,99123200,4.757228,4.639404,0.00001000
