step,tokens_seen,train_loss,val_loss,learning_rate
6160,50462720,2.375823,2.649741,0.00001200
6180,50626560,2.713837,2.649741,0.00001192
6200,50790400,2.448182,2.299699,0.00001184
6220,50954240,2.654045,2.299699,0.00001176
6240,51118080,2.437850,2.299699,0.00001168
6260,51281920,2.663831,2.299699,0.00001159
6280,51445760,2.663126,2.299699,0.00001151
6300,51609600,2.427321,2.299699,0.00001143
6320,51773440,2.586448,2.299699,0.00001135
6340,51937280,3.015012,2.299699,0.00001127
6360,52101120,2.558057,2.299699,0.00001119
6380,52264960,2.634542,2.299699,0.00001111
6400,52428800,2.447603,2.450980,0.00001104
6420,52592640,2.467542,2.450980,0.00001096
6440,52756480,2.666766,2.450980,0.00001088
6460,52920320,2.433392,2.450980,0.00001080
6480,53084160,2.552415,2.450980,0.00001072
6500,53248000,2.691028,2.450980,0.00001064
6520,53411840,2.545404,2.450980,0.00001056
6540,53575680,2.370525,2.450980,0.00001049
6560,53739520,2.797346,2.450980,0.00001041
6580,53903360,2.475094,2.450980,0.00001033
6600,54067200,2.699989,2.562123,0.00001026
6620,54231040,2.640138,2.562123,0.00001018
6640,54394880,2.443998,2.562123,0.00001010
6660,54558720,2.742714,2.562123,0.00001003
6680,54722560,2.468633,2.562123,0.00000995
6700,54886400,2.392209,2.562123,0.00000988
6720,55050240,2.270093,2.562123,0.00000980
6740,55214080,2.690471,2.562123,0.00000973
6760,55377920,2.847102,2.562123,0.00000965
6780,55541760,2.544128,2.562123,0.00000958
6800,55705600,2.522968,2.656976,0.00000950
6820,55869440,2.469106,2.656976,0.00000943
6840,56033280,2.449811,2.656976,0.00000935
6860,56197120,2.915421,2.656976,0.00000928
6880,56360960,2.841349,2.656976,0.00000921
6900,56524800,2.839440,2.656976,0.00000914
6920,56688640,2.834388,2.656976,0.00000906
6940,56852480,2.435258,2.656976,0.00000899
6960,57016320,2.602407,2.656976,0.00000892
6980,57180160,2.634889,2.656976,0.00000885
7000,57344000,2.642059,2.551030,0.00000878
7020,57507840,2.094277,2.551030,0.00000871
7040,57671680,2.616104,2.551030,0.00000864
7060,57835520,2.791797,2.551030,0.00000856
7080,57999360,2.362419,2.551030,0.00000850
7100,58163200,2.226969,2.551030,0.00000843
7120,58327040,2.670621,2.551030,0.00000836
7140,58490880,2.633565,2.551030,0.00000829
7160,58654720,2.681083,2.551030,0.00000822
7180,58818560,3.058885,2.551030,0.00000815
7200,58982400,2.503050,2.746050,0.00000808
7220,59146240,2.390597,2.746050,0.00000802
7240,59310080,2.802889,2.746050,0.00000795
7260,59473920,2.303262,2.746050,0.00000788
7280,59637760,2.502623,2.746050,0.00000782
7300,59801600,2.613018,2.746050,0.00000775
7320,59965440,2.574037,2.746050,0.00000768
7340,60129280,2.469617,2.746050,0.00000762
7360,60293120,2.338633,2.746050,0.00000755
7380,60456960,2.308120,2.746050,0.00000749
7400,60620800,2.534971,2.514413,0.00000742
7420,60784640,2.649662,2.514413,0.00000736
7440,60948480,2.422576,2.514413,0.00000730
7460,61112320,2.673833,2.514413,0.00000723
7480,61276160,2.825234,2.514413,0.00000717
7500,61440000,2.170492,2.514413,0.00000711
7520,61603840,2.582330,2.514413,0.00000705
7540,61767680,2.607157,2.514413,0.00000698
7560,61931520,2.303387,2.514413,0.00000692
7580,62095360,2.327004,2.514413,0.00000686
7600,62259200,2.430522,2.678463,0.00000680
7620,62423040,2.632717,2.678463,0.00000674
7640,62586880,2.499121,2.678463,0.00000668
7660,62750720,2.964903,2.678463,0.00000662
7680,62914560,2.654058,2.678463,0.00000656
7700,63078400,2.343455,2.678463,0.00000651
7720,63242240,2.726381,2.678463,0.00000645
7740,63406080,2.356303,2.678463,0.00000639
7760,63569920,2.352475,2.678463,0.00000633
7780,63733760,2.197738,2.678463,0.00000628
7800,63897600,2.569776,2.685764,0.00000622
7820,64061440,2.854415,2.685764,0.00000616
7840,64225280,2.669386,2.685764,0.00000611
7860,64389120,2.887983,2.685764,0.00000605
7880,64552960,2.194432,2.685764,0.00000600
7900,64716800,2.702924,2.685764,0.00000595
7920,64880640,2.586086,2.685764,0.00000589
7940,65044480,1.905544,2.685764,0.00000584
7960,65208320,3.024304,2.685764,0.00000579
7980,65372160,2.326071,2.685764,0.00000573
8000,65536000,2.395223,2.687731,0.00000568
8020,65699840,2.566917,2.687731,0.00000563
8040,65863680,2.406748,2.687731,0.00000558
8060,66027520,2.309267,2.687731,0.00000553
8080,66191360,2.454801,2.687731,0.00000548
8100,66355200,2.382040,2.687731,0.00000543
8120,66519040,2.502989,2.687731,0.00000538
8140,66682880,3.039344,2.687731,0.00000533
8160,66846720,2.626480,2.687731,0.00000528
8180,67010560,2.630549,2.687731,0.00000523
8200,67174400,2.510628,2.657570,0.00000519
8220,67338240,2.213323,2.657570,0.00000514
8240,67502080,2.572692,2.657570,0.00000509
8260,67665920,2.570273,2.657570,0.00000505
8280,67829760,2.280063,2.657570,0.00000500
8300,67993600,2.542697,2.657570,0.00000496
8320,68157440,2.594835,2.657570,0.00000491
8340,68321280,2.594589,2.657570,0.00000487
8360,68485120,2.697305,2.657570,0.00000482
8380,68648960,2.296162,2.657570,0.00000478
8400,68812800,2.478515,2.692456,0.00000474
8420,68976640,2.660900,2.692456,0.00000469
8440,69140480,2.581074,2.692456,0.00000465
8460,69304320,2.364803,2.692456,0.00000461
8480,69468160,2.430986,2.692456,0.00000457
8500,69632000,2.347359,2.692456,0.00000453
8520,69795840,2.459227,2.692456,0.00000449
8540,69959680,2.243738,2.692456,0.00000445
8560,70123520,2.583248,2.692456,0.00000441
8580,70287360,2.487487,2.692456,0.00000437
8600,70451200,2.486152,2.604850,0.00000434
8620,70615040,2.410066,2.604850,0.00000430
8640,70778880,2.448070,2.604850,0.00000426
8660,70942720,2.499810,2.604850,0.00000423
8680,71106560,3.016778,2.604850,0.00000419
8700,71270400,2.202512,2.604850,0.00000416
8720,71434240,2.297243,2.604850,0.00000412
8740,71598080,2.752455,2.604850,0.00000409
8760,71761920,2.856259,2.604850,0.00000405
8780,71925760,2.097259,2.604850,0.00000402
8800,72089600,2.482674,2.542208,0.00000399
8820,72253440,3.054288,2.542208,0.00000395
8840,72417280,2.513535,2.542208,0.00000392
8860,72581120,1.991848,2.542208,0.00000389
8880,72744960,2.421243,2.542208,0.00000386
8900,72908800,2.350880,2.542208,0.00000383
8920,73072640,2.541623,2.542208,0.00000380
8940,73236480,2.376364,2.542208,0.00000377
8960,73400320,2.983160,2.542208,0.00000374
8980,73564160,2.422057,2.542208,0.00000372
9000,73728000,2.500799,2.402293,0.00000369
9020,73891840,2.707462,2.402293,0.00000366
9040,74055680,2.331026,2.402293,0.00000363
9060,74219520,2.467332,2.402293,0.00000361
9080,74383360,2.105541,2.402293,0.00000358
9100,74547200,2.135760,2.402293,0.00000356
9120,74711040,2.345674,2.402293,0.00000353
9140,74874880,2.640737,2.402293,0.00000351
9160,75038720,2.526238,2.402293,0.00000349
9180,75202560,2.592236,2.402293,0.00000346
9200,75366400,2.413118,2.410714,0.00000344
9220,75530240,2.807495,2.410714,0.00000342
9240,75694080,2.621853,2.410714,0.00000340
9260,75857920,2.202708,2.410714,0.00000338
9280,76021760,2.307012,2.410714,0.00000336
9300,76185600,2.926668,2.410714,0.00000334
9320,76349440,2.198811,2.410714,0.00000332
9340,76513280,2.391469,2.410714,0.00000330
9360,76677120,2.670727,2.410714,0.00000328
9380,76840960,2.761383,2.410714,0.00000327
9400,77004800,2.603874,2.427697,0.00000325
9420,77168640,2.539481,2.427697,0.00000323
9440,77332480,2.544149,2.427697,0.00000322
9460,77496320,2.429273,2.427697,0.00000320
9480,77660160,2.369951,2.427697,0.00000319
9500,77824000,2.459672,2.427697,0.00000317
9520,77987840,2.951003,2.427697,0.00000316
9540,78151680,2.575924,2.427697,0.00000315
9560,78315520,2.484463,2.427697,0.00000313
9580,78479360,2.160887,2.427697,0.00000312
9600,78643200,2.430076,2.701707,0.00000311
9620,78807040,2.218781,2.701707,0.00000310
9640,78970880,2.427092,2.701707,0.00000309
9660,79134720,2.444337,2.701707,0.00000308
9680,79298560,2.581926,2.701707,0.00000307
9700,79462400,2.181050,2.701707,0.00000306
9720,79626240,2.950343,2.701707,0.00000305
9740,79790080,2.257315,2.701707,0.00000305
9760,79953920,2.260765,2.701707,0.00000304
9780,80117760,2.692131,2.701707,0.00000303
9800,80281600,2.557857,2.458424,0.00000303
9820,80445440,2.819751,2.458424,0.00000302
9840,80609280,2.453686,2.458424,0.00000302
9860,80773120,2.283687,2.458424,0.00000301
9880,80936960,2.218784,2.458424,0.00000301
9900,81100800,2.503834,2.458424,0.00000301
9920,81264640,2.664578,2.458424,0.00000300
9940,81428480,2.568734,2.458424,0.00000300
9960,81592320,2.561816,2.458424,0.00000300
9980,81756160,2.629349,2.458424,0.00000300
10000,81920000,2.587493,2.479239,0.00000300
